INDEX (),ENGINE_RUN_TINE (),ENGINE_RPM (),VEHICLE_SPEED (),THROTTLE (),ENGINE_LOAD (),COOLANT_TEMPERATURE (),LONG_TERM_FUEL_TRIM_BANK_1 (),SHORT_TERM_FUEL_TRIM_BANK_1 (),INTAKE_MANIFOLD_PRESSURE (),FUEL_TANK (),ABSOLUTE_THROTTLE_B (),PEDAL_D (),PEDAL_E (),COMMANDED_THROTTLE_ACTUATOR (),FUEL_AIR_COMMANDED_EQUIV_RATIO (),ABSOLUTE_BAROMETRIC_PRESSURE (),RELATIVE_THROTTLE_POSITION (),INTAKE_AIR_TEMP (),TIMING_ADVANCE (),CATALYST_TEMPERATURE_BANK1_SENSOR1 (),CATALYST_TEMPERATURE_BANK1_SENSOR2 (),CONTROL_MODULE_VOLTAGE (),COMMANDED_EVAPORATIVE_PURGE (),TIME_RUN_WITH_MIL_ON (),TIME_SINCE_TROUBLE_CODES_CLEARED (),DISTANCE_TRAVELED_WITH_MIL_ON (),WARM_UPS_SINCE_CODES_CLEARED ()
55,24,978.75,23,18.82353,32.941177,89,0,-0.78125,34,59.607841,50.980392,16.078432,31.764706,18.82353,0,100,0,56,9,179.199997,123.300003,13.632,0,0,8544,0,255
56,24,978.75,23,18.82353,32.941177,89,0,-0.78125,34,59.607841,50.980392,16.078432,31.764706,18.82353,0,100,0,56,9,179.199997,127.399994,13.632,0,0,8544,0,255
57,24,957.75,19,18.82353,34.901962,89,-0.78125,3.125,35,59.607841,50.980392,16.078432,31.764706,18.82353,0,100,0,56,9,179.199997,127.399994,13.632,0,0,8544,0,255
58,26,957.75,19,18.82353,34.901962,89,-0.78125,3.125,35,59.607841,50.980392,16.078432,31.764706,18.82353,0,100,0,56,5,179.199997,127.399994,13.632,0,0,8544,0,255
59,26,957.75,19,18.82353,34.901962,89,-0.78125,3.125,35,62.35294,50.980392,16.078432,31.764706,18.82353,0,100,0,56,5,190.800003,134.899994,13.632,0,0,8544,0,255
60,26,957.75,19,18.82353,34.901962,89,-0.78125,3.125,35,62.35294,50.980392,16.078432,31.764706,18.82353,0,100,0,56,5,190.800003,134.899994,13.632,0,0,8544,0,255
61,26,924,10,18.82353,36.07843,90,-0.78125,0,36,62.35294,50.980392,16.078432,31.764706,18.82353,0,100,0,56,3,190.800003,134.899994,13.632,0,0,8544,0,255
62,28,924,10,18.82353,36.07843,90,-0.78125,0,36,66.274513,50.980392,16.078432,31.764706,18.82353,0,100,0,56,3,190.800003,134.899994,13.632,0,0,8544,0,255
63,28,924,10,18.82353,36.07843,90,-0.78125,0,36,66.274513,50.980392,16.078432,31.764706,18.82353,0,100,0,56,3,200.5,141.699997,13.457,0,0,8544,0,255
64,28,924,10,18.82353,36.07843,90,-0.78125,0,36,66.274513,50.980392,16.078432,31.764706,18.82353,0,100,0,56,3,200.5,141.699997,13.457,0,0,8544,0,255
65,29,815.5,6,18.82353,48.627453,90,-1.5625,3.125,53,66.274513,50.980392,16.078432,31.764706,18.82353,0,100,0,56,6,200.5,141.699997,13.457,0,0,8544,0,255
66,29,815.5,6,18.82353,48.627453,90,-1.5625,3.125,53,59.607841,50.980392,16.078432,31.764706,18.82353,0,100,0,56,6,209.100006,141.699997,13.457,0,0,8544,0,255
67,29,815.5,6,18.82353,48.627453,90,-1.5625,3.125,53,59.607841,50.980392,16.078432,31.764706,18.82353,0,100,0,56,6,209.100006,147.800003,13.554,0,0,8544,0,255
68,29,852.25,6,18.82353,39.215687,90,-0.78125,0,40,59.607841,50.980392,16.078432,31.764706,18.82353,0,100,0,56,6,209.100006,147.800003,13.554,0,0,8544,0,255
69,31,852.25,5,18.82353,39.215687,90,-0.78125,0,40,59.607841,50.980392,16.078432,31.764706,18.82353,0,100,0,56,-1,209.100006,147.800003,13.554,0,0,8544,0,255
70,31,852.25,5,18.82353,39.215687,90,-0.78125,0,40,58.431374,50.980392,16.078432,31.764706,18.82353,0,100,0,56,-1,213,150.800003,13.515,0,0,8544,0,255
71,31,852.25,5,18.82353,39.215687,90,-0.78125,0,40,58.431374,52.549019,29.019608,45.490196,25.490196,0,100,0,56,-1,213,150.800003,13.515,0,0,8544,0,255
72,31,1105.25,3,18.82353,37.64706,90,-0.78125,-6.25,36,58.431374,52.549019,29.019608,45.490196,25.490196,0,100,0,56,9,213,150.800003,13.515,0,0,8544,0,255
73,33,1105.25,3,18.82353,37.64706,90,-0.78125,-6.25,36,62.745098,52.549019,29.019608,45.490196,25.490196,0,100,0,56,9,213,150.800003,13.515,0,0,8544,0,255
74,33,1105.25,3,18.82353,37.64706,90,-0.78125,-6.25,36,62.745098,54.117645,31.764706,48.235294,28.627451,0,100,0.392157,56,9,220.600006,156.300003,13.554,0,0,8544,0,255
75,33,1105.25,3,18.82353,37.64706,90,-0.78125,-6.25,36,62.745098,54.117645,31.764706,48.235294,28.627451,0,100,0.392157,56,9,220.600006,156.300003,13.554,0,0,8544,0,255
76,35,1125,0,20,71.764709,89,-2.34375,-5.46875,49,62.745098,54.117645,31.764706,48.235294,28.627451,0,100,0.392157,56,-4,220.600006,156.300003,13.554,0,0,8544,0,255
77,35,1125,0,20,71.764709,89,-2.34375,-5.46875,49,67.450981,54.117645,31.764706,48.235294,28.627451,0,100,0.392157,56,-4,230.799988,156.300003,13.554,0,0,8544,0,255
78,35,1125,0,20,71.764709,89,-2.34375,-5.46875,49,67.450981,50.980392,16.078432,31.764706,18.82353,0,100,0,56,-4,230.799988,163.100006,13.183,0,0,8544,0,255
79,35,1125,0,20,54.901962,89,-0.78125,-1.5625,52,67.450981,50.980392,16.078432,31.764706,18.82353,0,100,0,56,-4,230.799988,163.100006,13.183,0,0,8544,0,255
80,37,696,0,18.82353,54.901962,89,-0.78125,-1.5625,52,67.450981,50.980392,16.078432,31.764706,18.82353,0,100,0,56,7,230.799988,163.100006,13.183,0,0,8544,0,255
81,37,696,0,18.82353,54.901962,89,-0.78125,-1.5625,52,59.607841,50.980392,16.078432,31.764706,18.82353,0,100,2.745098,56,7,240.600006,169.600006,13.613,0,0,8544,0,255
82,37,696,0,18.82353,54.901962,89,-0.78125,-1.5625,52,59.607841,54.901962,23.137255,38.823528,21.960785,0,100,2.745098,56,7,240.600006,169.600006,13.613,0,0,8544,0,255
83,37,1469.5,8,22.745098,58.823528,89,-1.5625,-1.5625,58,59.607841,54.901962,23.137255,38.823528,21.960785,0,100,2.745098,56,17,240.600006,169.600006,13.613,0,0,8544,0,255
84,38,1469.5,8,22.745098,58.823528,89,-1.5625,-1.5625,58,56.862743,54.901962,23.137255,38.823528,21.960785,0,100,2.745098,56,17,240.600006,169.600006,13.613,0,0,8544,0,255
85,38,1469.5,8,22.745098,58.823528,89,-1.5625,-1.5625,58,56.862743,50.980392,16.078432,31.764706,18.82353,0,100,0,56,17,246.600006,173.5,13.671,0,0,8544,0,255
86,38,1469.5,8,22.745098,58.823528,89,-1.5625,-1.5625,58,56.862743,50.980392,16.078432,31.764706,18.82353,0,100,0,56,17,246.600006,173.5,13.671,0,0,8544,0,255
87,40,914.75,13,28.235294,82.745094,89,-5.46875,2.34375,92,56.862743,50.980392,16.078432,31.764706,18.82353,0,100,0,56,-14,246.600006,173.5,13.671,0,0,8544,0,255
88,40,914.75,13,28.235294,82.745094,89,-5.46875,2.34375,92,53.333332,50.980392,16.078432,31.764706,18.82353,0,100,0,56,-14,246.600006,173.5,13.671,0,0,8544,0,255
89,40,914.75,13,28.235294,82.745094,89,-5.46875,2.34375,92,53.333332,63.529411,30.588236,46.274509,28.627451,0,100,9.803922,56,-14,258.700012,181.300003,13.632,0,0,8544,0,255
90,40,914.75,13,28.235294,83.529411,88,-5.46875,-1.5625,79,53.333332,63.529411,30.588236,46.274509,28.627451,0,100,9.803922,56,-14,258.700012,181.300003,13.632,0,0,8544,0,255
91,42,1438.25,17,25.882353,83.529411,88,-5.46875,-1.5625,79,53.333332,63.529411,30.588236,46.274509,28.627451,0,100,9.803922,56,4,258.700012,181.300003,13.632,0,0,8544,0,255
92,42,1438.25,17,25.882353,83.529411,88,-5.46875,-1.5625,79,66.274513,63.529411,30.588236,46.274509,28.627451,0,100,9.803922,56,4,276.100006,192,13.671,0,0,8544,0,255
93,42,1438.25,17,25.882353,83.529411,88,-5.46875,-1.5625,79,66.274513,57.254902,25.09804,40.784313,23.137255,0,100,4.705883,56,4,276.100006,192,13.671,0,0,8544,0,255
94,42,1773.25,25,20.784313,51.764706,88,-2.34375,2.34375,45,66.274513,57.254902,25.09804,40.784313,23.137255,0,100,4.705883,55,23,276.100006,192,13.671,0,0,8544,0,255
95,44,1773.25,25,20.784313,51.764706,88,-2.34375,2.34375,45,63.92157,57.254902,25.09804,40.784313,23.137255,0,100,4.705883,55,23,276.100006,192,13.671,0,0,8544,0,255
96,44,1773.25,25,20.784313,51.764706,88,-2.34375,2.34375,45,63.92157,55.294117,23.137255,39.215687,22.352942,0,100,3.529412,55,23,293.899994,203.600006,13.671,0,0,8544,0,255
97,44,1773.25,25,20.784313,51.764706,88,-2.34375,2.34375,45,63.92157,55.294117,23.137255,39.215687,22.352942,0,100,3.529412,55,23,293.899994,203.600006,13.671,0,0,8544,0,255
98,44,1658.5,25,18.82353,33.725491,88,-0.78125,-0.78125,25,63.92157,55.294117,23.137255,39.215687,22.352942,0,100,3.529412,55,24,293.899994,203.600006,13.671,0,0,8544,0,255
99,46,1658.5,25,18.82353,33.725491,88,-0.78125,-0.78125,25,62.745098,55.294117,23.137255,39.215687,22.352942,0,100,3.529412,55,24,293.899994,203.600006,13.671,0,0,8544,0,255
100,46,1658.5,25,18.82353,33.725491,88,-0.78125,-0.78125,25,62.745098,50.980392,16.078432,31.764706,18.82353,0,100,0,55,24,301.399994,208.800003,13.671,0,0,8544,0,255
101,46,1658.5,25,18.82353,25.09804,87,-0.78125,3.90625,25,62.745098,50.980392,16.078432,31.764706,18.82353,0,100,0,55,24,301.399994,208.800003,13.671,0,0,8544,0,255
102,47,1432,22,18.82353,25.09804,87,-0.78125,3.90625,25,62.745098,50.980392,16.078432,31.764706,18.82353,0,100,0,56,6,301.399994,208.800003,13.671,0,0,8544,0,255
103,47,1432,22,18.82353,25.09804,87,-0.78125,3.90625,25,62.35294,50.980392,16.078432,31.764706,18.82353,0,100,0,56,6,313.5,217.899994,13.652,0,0,8544,0,255
104,47,1432,22,18.82353,25.09804,87,-0.78125,3.90625,25,62.35294,50.980392,16.078432,31.764706,18.82353,0,100,0,56,6,313.5,217.899994,13.652,0,0,8544,0,255
105,47,1028.75,19,18.82353,34.117645,87,-0.78125,0,34,62.35294,50.980392,16.078432,31.764706,18.82353,0,100,0,56,8,313.5,217.899994,13.652,0,0,8544,0,255
106,49,1028.75,19,18.82353,34.117645,87,-0.78125,0,34,67.450981,50.980392,16.078432,31.764706,18.82353,0,100,0,56,8,313.5,217.899994,13.652,0,0,8544,0,255
107,49,1028.75,19,18.82353,34.117645,87,-0.78125,0,34,67.450981,50.980392,16.078432,31.764706,18.82353,0,100,0,56,8,322.899994,225.700012,13.652,0,0,8544,0,255
108,49,1028.75,19,18.82353,34.117645,87,-0.78125,0,34,67.450981,50.980392,16.078432,31.764706,18.82353,0,100,0,56,8,322.899994,225.700012,13.652,0,0,8544,0,255
109,49,989,13,18.82353,34.509804,87,-0.78125,0.78125,35,67.450981,50.980392,16.078432,31.764706,18.82353,0,100,0,56,4,322.899994,225.700012,13.652,0,0,8544,0,255
110,51,989,13,18.82353,34.509804,87,-0.78125,0.78125,35,72.549019,50.980392,16.078432,31.764706,18.82353,0,100,0,56,4,322.899994,225.700012,13.652,0,0,8544,0,255
111,51,989,13,18.82353,34.509804,87,-0.78125,0.78125,35,72.549019,50.980392,16.078432,31.764706,18.82353,0,100,0,56,4,330.399994,232.399994,13.652,0,0,8544,0,255
112,51,989,13,18.82353,38.823528,87,-0.78125,-2.34375,35,72.549019,50.980392,16.078432,31.764706,18.82353,0,100,0,56,4,330.399994,232.399994,13.652,0,0,8544,0,255
113,53,852.25,8,18.82353,38.823528,87,-0.78125,-2.34375,41,72.549019,50.980392,16.078432,31.764706,18.82353,0,100,0,56,7,330.399994,232.399994,13.652,0,0,8544,0,255
114,53,852.25,8,18.82353,38.823528,87,-0.78125,-2.34375,41,69.411766,50.980392,16.078432,31.764706,18.82353,0,100,0,56,7,333.600006,235.399994,13.515,0,0,8544,0,255
115,53,852.25,8,18.82353,38.823528,87,-0.78125,-2.34375,41,69.411766,55.294117,23.529411,39.607841,22.352942,0,100,3.137255,56,7,333.600006,235.399994,13.515,0,0,8544,0,255
116,53,1308.5,8,18.82353,32.941177,87,-0.78125,-0.78125,30,69.411766,55.294117,23.529411,39.607841,22.352942,0,100,3.137255,56,13,333.600006,235.399994,13.515,0,0,8544,0,255
117,55,1308.5,8,18.82353,32.941177,87,-0.78125,-0.78125,30,60.392159,55.294117,23.529411,39.607841,22.352942,0,100,3.137255,56,13,333.600006,235.399994,13.515,0,0,8544,0,255
118,55,1308.5,8,18.82353,32.941177,87,-0.78125,-0.78125,30,60.392159,58.039215,29.803921,45.882355,22.352942,0,100,5.490196,56,13,340.899994,241.600006,13.496,0,0,8544,0,255
119,55,1308.5,8,18.82353,32.941177,87,-0.78125,-0.78125,30,60.392159,58.039215,29.803921,45.882355,25.09804,0,100,5.490196,56,13,340.899994,241.600006,13.496,0,0,8544,0,255
120,55,995.25,10,28.235294,95.294121,87,-5.46875,0,96,60.392159,58.039215,29.803921,45.882355,25.09804,0,100,5.490196,56,-14,340.899994,241.600006,13.496,0,0,8544,0,255
121,56,995.25,10,28.235294,95.294121,87,-5.46875,0,96,48.235294,58.039215,29.803921,45.882355,25.09804,0,100,5.490196,56,-14,340.899994,241.600006,13.496,0,0,8544,0,255
122,56,995.25,10,28.235294,95.294121,87,-5.46875,0,96,48.235294,56.470589,25.09804,41.176472,23.137255,0,100,4.313725,56,-14,350.200012,248.700012,13.671,0,0,8544,0,255
123,56,995.25,10,28.235294,54.901962,87,-1.5625,-0.78125,96,48.235294,56.470589,25.09804,41.176472,23.137255,0,100,4.313725,56,-14,350.200012,248.700012,13.671,0,0,8544,0,255
124,58,1513.25,19,18.82353,54.901962,87,-1.5625,-0.78125,57,48.235294,56.470589,25.09804,41.176472,23.137255,0,100,4.313725,56,18,350.200012,248.700012,13.671,0,0,8544,0,255
125,58,1513.25,19,18.82353,54.901962,87,-1.5625,-0.78125,57,45.098038,56.470589,25.09804,41.176472,23.137255,0,100,4.313725,56,18,360.600006,256.399994,13.652,0,0,8544,0,255
126,58,1513.25,19,18.82353,54.901962,87,-1.5625,-0.78125,57,45.098038,60.392159,27.843138,43.92157,27.450981,0,100,4.705883,56,18,360.600006,256.399994,13.652,0,0,8545,0,255
127,58,1157,21,25.882353,89.019608,88,-5.46875,-7.03125,90,45.098038,60.392159,27.843138,43.92157,27.450981,0,100,4.705883,56,-4,360.600006,256.399994,13.652,0,0,8545,0,255
128,60,1157,21,25.882353,89.019608,88,-5.46875,-7.03125,90,60.392159,60.392159,27.843138,43.92157,27.450981,0,100,4.705883,56,-4,360.600006,256.399994,13.652,0,0,8545,0,255
129,60,1157,21,25.882353,89.019608,88,-5.46875,-7.03125,90,60.392159,56.07843,23.137255,39.215687,27.450981,0,100,3.921569,56,-4,366.399994,260.600006,13.671,0,0,8545,0,255
130,60,1157,21,25.882353,89.019608,88,-5.46875,-7.03125,90,60.392159,56.07843,23.137255,39.215687,22.745098,0,100,3.921569,56,-4,366.399994,260.600006,13.671,0,0,8545,0,255
131,60,1306.25,26,19.607843,30.196079,88,-0.78125,-1.5625,28,60.392159,56.07843,23.137255,39.215687,22.745098,0,100,3.921569,55,13,366.399994,260.600006,13.671,0,0,8545,0,255
132,62,1306.25,26,19.607843,30.196079,88,-0.78125,-1.5625,28,63.529411,56.07843,23.137255,39.215687,22.745098,0,100,3.921569,55,13,366.399994,260.600006,13.671,0,0,8545,0,255
133,62,1306.25,26,19.607843,30.196079,88,-0.78125,-1.5625,28,63.529411,51.372547,21.960785,38.039215,19.607843,0,100,0.392157,55,13,378,269.100006,13.671,0,0,8545,0,255
134,62,1306.25,26,19.607843,25.490196,88,2.34375,0,28,63.529411,51.372547,21.960785,38.039215,19.607843,0,100,0.392157,55,13,378,269.100006,13.671,0,0,8545,0,255
135,64,1340.5,29,18.039215,25.490196,88,2.34375,0,26,63.529411,51.372547,21.960785,38.039215,19.607843,0,100,0.392157,55,20,378,269.100006,13.671,0,0,8545,0,255
136,64,1340.5,29,18.039215,25.490196,88,2.34375,0,26,69.019608,51.372547,21.960785,38.039215,19.607843,0,100,0.392157,55,20,386.899994,276.299988,13.671,0,0,8545,0,255
