Index (),ENGINE_RUN_TINE (),ENGINE_RPM (),VEHICLE_SPEED (),THROTTLE (),ENGINE_LOAD (),COOLANT_TEMPERATURE (),LONG_TERM_FUEL_TRIM_BANK_1 (),SHORT_TERM_FUEL_TRIM_BANK_1 (),INTAKE_MANIFOLD_PRESSURE (),FUEL_TANK (),ABSOLUTE_THROTTLE_B (),PEDAL_D (),PEDAL_E (),COMMANDED_THROTTLE_ACTUATOR (),FUEL_AIR_COMMANDED_EQUIV_RATIO (),ABSOLUTE_BAROMETRIC_PRESSURE (),RELATIVE_THROTTLE_POSITION (),INTAKE_AIR_TEMP (),TIMING_ADVANCE (),CATALYST_TEMPERATURE_BANK1_SENSOR1 (),CATALYST_TEMPERATURE_BANK1_SENSOR2 (),CONTROL_MODULE_VOLTAGE (),COMMANDED_EVAPORATIVE_PURGE (),TIME_RUN_WITH_MIL_ON (),TIME_SINCE_TROUBLE_CODES_CLEARED (),DISTANCE_TRAVELED_WITH_MIL_ON (),WARM_UPS_SINCE_CODES_CLEARED (),N_RAD,BESCHLEUNIGUNG,LEISTUNG,DREHMOMENT
91,41,900,0,20.392157,49.411766,37,-1.5625,-8.59375,50,35.686275,52.549019,16.078432,31.764706,20,0,100,1.176471,26,4,238.5,36.800003,14.179,0,0,7835,0,255,0,1.66666666666667,0,0
92,41,944.5,6,20,44.705883,38,-0.78125,-8.59375,44,35.686275,52.549019,16.078432,31.764706,20,0,100,1.176471,26,-5,238.5,36.800003,14.179,0,0,7835,0,255,0.909976804413352,0,208.29172650463,2.10607304194729
93,42,944.5,6,20,44.705883,38,-0.78125,-8.59375,44,36.862743,52.549019,16.078432,31.764706,20,0,100,1.176471,26,-5,238.5,36.800003,14.179,0,0,7835,0,255,0.909976804413352,0,208.29172650463,2.10607304194729
94,42,944.5,6,20,44.705883,38,-0.78125,-8.59375,44,36.862743,52.156864,16.078432,31.764706,20,0,100,0.784314,26,-5,248.200012,38.400002,14.179,0,0,7835,0,255,0.909976804413352,0,208.29172650463,2.10607304194729
95,42,944.5,6,20,43.529411,38,-0.78125,-8.59375,44,36.862743,52.156864,16.078432,31.764706,20,0,100,0.784314,26,-5,248.200012,38.400002,14.179,0,0,7835,0,255,0.909976804413352,0.555555555555556,2267.73617094907,22.9294657835507
96,44,951.5,8,20,43.529411,38,-0.78125,-12.5,44,36.862743,52.156864,16.078432,31.764706,20,0,100,0.784314,26,-3,248.200012,38.400002,14.179,0,0,7835,0,255,1.21330240588447,0,279.525876251715,2.80554084939976
97,44,951.5,8,20,43.529411,38,-0.78125,-12.5,44,39.607841,52.156864,16.078432,31.764706,20,0,100,0.784314,26,-3,257.399994,40.099998,14.179,0,0,7835,0,255,1.21330240588447,0,279.525876251715,2.80554084939976
98,44,951.5,8,20,43.529411,38,-0.78125,-12.5,44,39.607841,52.549019,19.607843,35.686275,20.392157,0,100,0.784314,26,-3,257.399994,40.099998,14.179,0,0,7835,0,255,1.21330240588447,-0.277777777777778,0,0
99,44,1260,7,20,39.607841,39,0,-6.25,40,39.607841,52.549019,19.607843,35.686275,20.392157,0,100,0.784314,26,-3,257.399994,40.099998,14.179,0,0,7835,0,255,1.06163960514891,0,243.739716292653,1.84739229412288
100,46,1260,7,20.392157,39.607841,39,0,-6.25,40,39.607841,52.549019,19.607843,35.686275,20.392157,0,100,0.784314,26,24,257.399994,40.099998,14.179,0,0,7835,0,255,1.06163960514891,0,243.739716292653,1.84739229412288
101,46,1260,7,20.392157,39.607841,39,0,-6.25,40,38.039215,52.549019,19.607843,35.686275,20.392157,0,100,0.392157,26,24,262.100006,41.900002,14.218,0,0,7835,0,255,1.06163960514891,0,243.739716292653,1.84739229412288
102,46,1260,7,20.392157,39.607841,39,0,-6.25,40,38.039215,52.156864,16.078432,31.764706,19.607843,0,100,0.392157,26,24,262.100006,41.900002,14.218,0,0,7835,0,255,1.06163960514891,0.833333333333333,3847.76749407043,29.1636345780735
103,46,957.75,10,20.784313,33.333332,40,0.78125,-13.28125,37,38.039215,52.156864,16.078432,31.764706,19.607843,0,100,0.392157,26,14,262.100006,41.900002,14.218,0,0,7835,0,255,1.51662800735559,0,352.305946780693,3.51294366145196
104,48,957.75,10,20.784313,33.333332,40,0.78125,-13.28125,37,32.156864,52.156864,16.078432,31.764706,19.607843,0,100,0.392157,26,14,262.100006,41.900002,14.218,0,0,7835,0,255,1.51662800735559,0,352.305946780693,3.51294366145196
105,48,957.75,10,20.784313,33.333332,40,0.78125,-13.28125,37,32.156864,52.156864,16.078432,31.764706,19.607843,0,100,0.784314,26,14,270.799988,42.800003,14.14,0,0,7835,0,255,1.51662800735559,0,352.305946780693,3.51294366145196
106,48,957.75,10,20.784313,33.333332,40,0.78125,-13.28125,37,32.156864,52.156864,16.078432,31.764706,19.607843,0,100,0.784314,26,14,270.799988,42.800003,14.14,0,0,7835,0,255,1.51662800735559,0.277777777777778,2068.5096504844,20.6257031188995
107,50,878,11,19.607843,46.274509,40,-1.5625,-11.71875,45,32.156864,52.156864,16.078432,31.764706,19.607843,0,100,0.784314,26,5,270.799988,42.800003,14.14,0,0,7835,0,255,1.66829080809115,0,389.396477399477,4.23546282365035
108,50,878,11,19.607843,46.274509,40,-1.5625,-11.71875,45,34.509804,52.156864,16.078432,31.764706,19.607843,0,100,0.784314,26,5,278.799988,42.800003,14.14,0,0,7835,0,255,1.66829080809115,0,389.396477399477,4.23546282365035
109,50,878,11,19.607843,46.274509,40,-1.5625,-11.71875,45,34.509804,52.156864,16.078432,31.764706,19.607843,0,100,0.784314,26,5,278.799988,44.599998,14.179,0,0,7835,0,255,1.66829080809115,0,389.396477399477,4.23546282365035
110,50,929.5,11,19.607843,42.745098,40,-0.78125,-8.59375,41,34.509804,52.156864,16.078432,31.764706,19.607843,0,100,0.784314,26,5,278.799988,44.599998,14.179,0,0,7835,0,255,1.66829080809115,0.277777777777778,2277.22055147355,23.3969405772699
111,51,929.5,12,19.607843,42.745098,40,-0.78125,-8.59375,41,34.509804,52.156864,16.078432,31.764706,19.607843,0,100,0.784314,26,-1,278.799988,44.599998,14.179,0,0,7835,0,255,1.8199536088267,0,427.018418287037,4.38733286136762
112,51,929.5,12,19.607843,42.745098,40,-0.78125,-8.59375,41,30.980392,52.156864,16.078432,31.764706,19.607843,0,100,0.392157,26,-1,286.299988,46.5,14.179,0,0,7835,0,255,1.8199536088267,0,427.018418287037,4.38733286136762
113,51,929.5,12,19.607843,42.745098,40,-0.78125,-8.59375,41,30.980392,52.156864,16.078432,31.764706,19.607843,0,100,0.392157,26,-1,286.299988,46.5,14.179,0,0,7835,0,255,1.8199536088267,0.277777777777778,2486.46286273148,25.5467674438792
114,51,932,13,19.607843,41.960785,40,-0.78125,-11.71875,42,30.980392,52.156864,16.078432,31.764706,19.607843,0,100,0.392157,26,2,286.299988,46.5,14.179,0,0,7835,0,255,1.97161640956226,0,465.220079467807,4.76700832501884
115,53,932,13,19.607843,41.960785,40,-0.78125,-11.71875,42,27.058823,52.156864,16.078432,31.764706,19.607843,0,100,0.392157,26,2,286.299988,46.5,14.179,0,0,7835,0,255,1.97161640956226,0,465.220079467807,4.76700832501884
116,53,932,13,19.607843,41.960785,40,-0.78125,-11.71875,42,27.058823,52.156864,16.078432,31.764706,19.607843,0,100,0.392157,26,2,293.399994,48.300003,14.179,0,0,7835,0,255,1.97161640956226,0,465.220079467807,4.76700832501884
117,53,932,13,19.607843,41.960785,40,-0.78125,-11.71875,42,27.058823,52.156864,16.078432,31.764706,19.607843,0,100,0.392157,26,2,293.399994,48.300003,14.179,0,0,7835,0,255,1.97161640956226,0,465.220079467807,4.76700832501884
118,55,953.75,13,19.607843,41.176472,41,-0.78125,-8.59375,42,27.058823,52.156864,16.078432,31.764706,19.607843,0,100,0.392157,26,0,293.399994,48.300003,14.179,0,0,7835,0,255,1.97161640956226,0,465.220079467807,4.65829804342601
119,55,953.75,13,19.607843,41.176472,41,-0.78125,-8.59375,42,29.411764,52.156864,16.078432,31.764706,19.607843,0,100,0.392157,26,0,293.399994,48.300003,14.179,0,0,7835,0,255,1.97161640956226,0,465.220079467807,4.65829804342601
120,55,953.75,13,19.607843,41.176472,41,-0.78125,-8.59375,42,29.411764,51.764706,16.078432,31.764706,19.607843,0,100,0.392157,26,0,296.700012,49.300003,14.16,0,0,7835,0,255,1.97161640956226,0,465.220079467807,4.65829804342601
121,55,953.75,13,19.607843,43.92157,41,-0.78125,-11.71875,42,29.411764,51.764706,16.078432,31.764706,19.607843,0,100,0.392157,26,0,296.700012,49.300003,14.16,0,0,7835,0,255,1.97161640956226,-0.277777777777778,0,0
122,57,857,12,19.607843,43.92157,41,-0.78125,-11.71875,44,29.411764,51.764706,16.078432,31.764706,19.607843,0,100,0.392157,26,9,296.700012,49.300003,14.16,0,0,7835,0,255,1.8199536088267,0,427.018418287037,4.7584899587412
